DateTime,Close,Open,Low,High,Volume
2021-07-22,79700,79000,78900,79800,12618790
2021-07-21,78500,79000,78500,79100,12355296
2021-07-20,79000,78500,78400,79000,12456646
2021-07-19,79000,79100,78800,79200,13155414
2021-07-16,79800,80100,79500,80100,10859399
2021-07-15,80600,79800,79500,80600,13766279
2021-07-14,79500,79400,79100,79600,11575636
2021-07-13,79800,80000,79800,80200,9863450
2021-07-12,79700,79900,79500,80000,9768108
2021-07-09,79400,79600,79000,79800,22720577
2021-07-08,79900,81100,79900,81200,16660998
2021-07-07,80800,81200,80300,81300,15992202
2021-07-06,81200,80600,80500,81200,12131651
2021-07-05,80400,80100,80000,80800,8330969
2021-07-02,80000,80000,79900,80400,8753097
2021-07-01,80100,80500,80000,80600,13382882
2021-06-30,80700,81100,80700,81400,13288643
2021-06-29,81000,81900,80800,82100,15744317
2021-06-28,81900,81700,81600,82000,11578529
2021-06-25,81600,81500,81200,81900,13481405
2021-06-24,81200,80400,80100,81400,18771080
2021-06-23,80100,80500,79900,80600,13856548
2021-06-22,80000,80200,79900,80300,11773365
2021-06-21,79900,79700,79600,80000,16063340
2021-06-18,80500,81100,80500,81100,14916721
2021-06-17,80900,81100,80700,81300,14007385
2021-06-16,81800,81500,81100,81900,14999855
2021-06-15,80900,80900,80600,81200,10075685
2021-06-14,80500,80800,80500,80900,10550078
2021-06-11,81000,81200,80700,81700,14087962
2021-06-10,81000,81300,80900,81400,17586995
2021-06-09,81100,81500,81100,82000,14908823
2021-06-08,81900,82300,81800,82600,12781226
2021-06-07,81900,82700,81600,82800,16496197
2021-06-04,82200,82700,81500,82700,18112259
2021-06-03,82800,81300,81100,83000,29546007
2021-06-02,80800,80400,80300,81400,16414644
2021-06-01,80600,80500,80100,81300,14058401
2021-05-31,80500,80300,79600,80600,13321324
2021-05-28,80100,79800,79400,80400,12360199
2021-05-27,79600,80000,79100,80000,23198510
2021-05-26,79800,80400,79700,80500,11984359
2021-05-25,79900,80000,79800,80400,13628942
2021-05-24,79700,80100,79500,80400,13398666
2021-05-21,80100,80100,79800,81500,20961714
2021-05-20,79500,79400,79100,79700,16541828
2021-05-18,79600,79600,79100,80000,17494407
2021-05-17,79600,80800,79200,80900,17740855
2021-05-14,80100,79000,78900,80300,16450920
2021-05-13,78500,78900,78400,79600,31490096
2021-05-12,80000,80800,79800,81200,35812268
2021-05-11,81200,82500,81100,82600,28996680
2021-05-10,83200,82300,81800,83500,19385027
2021-05-07,81900,81800,81500,82100,14154882
2021-05-06,82300,81700,81700,82300,17047511
2021-05-04,82600,81900,81800,82600,12532550
2021-05-03,81700,81000,81000,82400,15710336
2021-04-30,81500,81900,81500,82100,18673197
2021-04-29,81700,82400,81500,82500,20000973
2021-04-28,82100,83200,82100,83200,15596759
2021-04-27,82900,83200,82500,83300,12941533
2021-04-26,83500,82900,82600,83500,15489938
2021-04-23,82800,81900,81600,82900,17805080
2021-04-22,82400,82900,82400,83000,13934746
2021-04-21,82600,83300,82500,83500,21636079
2021-04-20,83900,83300,83100,84000,15521965
2021-04-19,83300,83800,83300,84000,15287311
2021-04-16,83900,84700,83600,84700,15429522
2021-04-15,84100,83700,83400,84500,16377412
2021-04-14,84000,84000,83400,84300,13794652
2021-04-13,84000,83000,82800,84500,15238206
2021-04-12,83200,84100,83100,84100,12915282
2021-04-09,83600,84700,83400,84900,18193707
2021-04-08,84700,85700,84100,85700,19244259
2021-04-07,85600,86100,85400,86200,17885538
2021-04-06,86000,86200,85100,86200,19042023
2021-04-05,85400,85800,84800,86000,16255990
2021-04-02,84800,84000,83900,85200,22997538
2021-04-01,82900,82500,82000,83000,18676461
2021-03-31,81400,82400,81400,82700,17240518
2021-03-30,82200,81600,81300,82300,13121698
2021-03-29,81600,81700,81000,81700,14952134
2021-03-26,81500,81400,81000,81600,12845778
2021-03-25,81200,81000,80800,82100,14758826
2021-03-24,81000,81000,80700,81600,17926638
2021-03-23,81800,82600,81800,82900,13299907
2021-03-22,82000,82000,81700,82300,12670506
2021-03-19,81900,82100,81800,82500,15869700
2021-03-18,82900,82800,82600,83800,18585244
2021-03-17,82300,82800,82000,82900,11625146
2021-03-16,82800,82200,82100,83000,12293537
2021-03-15,81800,82800,81800,82900,13735798
2021-03-12,82800,83100,82400,83500,13530573
2021-03-11,82000,81000,81000,82500,23818297
2021-03-10,80900,82400,80700,82500,20038422
2021-03-09,81400,81400,80600,81900,25420764
2021-03-08,82000,82900,81600,83000,17641256
2021-03-05,82100,81100,81100,82600,20508971
2021-03-04,82400,82600,82200,83200,24348331
2021-03-03,84000,83500,82800,84000,19882132
